,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
16,5688,85.10103718788395,63.05393453610122,102.29729867838006,71.59918304634954,318.208152801713,318.208152801713,0,0.0,0
17,1184,38.826738479640966,-84.22932239142555,64.37616188204194,25.572424462982077,163.21320343559643,163.21320343559643,0,0.0,0
18,3538,67.11722215104709,25.782644772198438,83.00595612256679,57.54654965173946,251.81727983645294,251.81727983645294,0,0.0,0
19,1,1.1283791670955126,45.00001609038752,0.0,0.0,0.0,0.0,0,0.0,0
20,544,26.318098569918163,-86.25213095386395,52.34134802779286,14.640577923278245,119.21320343559641,119.21320343559641,0,0.0,0
21,6611,91.74631671213925,-82.3468418876903,239.34986148045456,43.573191280748674,516.2436867076458,516.2436867076458,0,0.0,0
22,5791,85.86809770550019,-46.293635841391925,105.01184013242195,79.11385592219321,346.45079348883235,346.45079348883235,0,0.0,0
23,4675,77.15176518808164,68.62555879359321,117.3555863593786,52.7383341549417,323.82337649086287,323.82337649086287,0,0.0,0
24,8,3.1915382432114616,90.00003218077504,4.898979485566356,1.9364916731037085,8.414213562373096,8.414213562373096,0,0.0,0
25,1,1.1283791670955126,45.00001609038752,0.0,0.0,0.0,0.0,0,0.0,0
26,7078,94.93149897497396,-43.78371261478125,109.3411914682546,88.24406514254613,354.2081528017131,354.2081528017131,0,0.0,0
27,3127,63.0984948821036,81.86454630234086,104.64178653566518,42.9749000134151,282.9533188057741,282.9533188057741,0,0.0,0
28,12597,126.64516787082263,-62.27020229351212,144.97906915682208,122.31398422166721,490.14927829866735,490.14927829866735,0,0.0,0
29,35,6.6755811781245455,17.165368967004508,15.738895468250663,3.2495880509232613,25.44974746830583,25.44974746830583,0,0.0,0
30,3082,62.64283100941218,17.167828209511057,108.56319717414299,38.46663275390694,273.39696961966996,273.39696961966996,0,0.0,0
31,4586,76.41385052564395,37.31558997235525,82.91288149049417,73.64664496558608,279.6101730552664,279.6101730552664,0,0.0,0
32,4,2.256758334191025,18.43495541459913,3.4641016151377544,1.4142135623730951,3.2071067811865475,3.2071067811865475,0,0.0,0
33,1551,44.43866035204299,-86.82130851353685,63.81521279226999,37.17470113034844,195.77564927611036,195.77564927611036,0,0.0,0
34,1180,38.7610972856483,86.44701647755797,86.9768081519745,19.139014052979153,192.49137802864846,192.49137802864846,0,0.0,0
35,75,9.772050238058398,89.44657509808296,33.895982439920985,3.0463634038183405,56.828427124746185,56.828427124746185,0,0.0,0
36,19,4.918490759365935,-36.5566175093598,5.851611038098708,4.321841719548398,14.621320343559642,14.621320343559642,0,0.0,0
37,2256,53.595040935916145,-88.2185906359302,169.88084448347965,19.148045548587397,336.53300858899104,336.53300858899104,0,0.0,0
38,312,19.931149940667517,-89.53921295209996,67.815263652222,6.482600187769869,128.3847763108502,128.3847763108502,0,0.0,0
39,8900,106.45107772184811,6.613832611970206,171.90168427146668,67.53028755798503,462.0660171779822,462.0660171779822,0,0.0,0
40,131,12.914889870235298,36.00812574204395,26.304305290973872,7.523253545880944,63.21320343559643,63.21320343559643,0,0.0,0
41,3640,68.07783738365954,3.699886248836272,186.1270241922131,36.956771053442715,641.8944443027283,641.8944443027283,0,0.0,0
42,28,5.970821321441846,44.21288336060352,14.196348474009215,3.022773460292946,23.899494936611664,23.899494936611664,0,0.0,0
43,6,2.763953195770684,7.465711258538649,6.01148666177788,1.280549059210314,5.207106781186548,5.207106781186548,0,0.0,0
44,11284,119.86340151518968,5.237488282150357,186.57491232231487,78.77206368899054,486.1076477383248,486.1076477383248,0,0.0,0
45,8,3.1915382432114616,10.67719250022913,6.342358212515373,2.1270854012330576,7.414213562373096,7.414213562373096,0,0.0,0
46,8,3.1915382432114616,90.00003218077504,9.16515138991168,0.0,6.0,6.0,0,0.0,0
47,8,3.1915382432114616,-81.3230167600557,5.321869122843981,1.7826129808008924,7.0,7.0,0,0.0,0
48,3763,69.21849757715358,-2.3381104638795382,79.52839177447845,61.352414990069654,254.16652224137044,254.16652224137044,0,0.0,0
49,4329,74.24186143381993,76.82252029236894,97.71918801400722,58.29342460007581,301.7817459305202,301.7817459305202,0,0.0,0
50,12,3.9088200952233594,37.34182183832694,9.205131892542306,1.6462051164253375,11.414213562373096,11.414213562373096,0,0.0,0
51,5662,84.90631485520079,-57.618441097470814,90.90334861172563,85.74739372837128,347.49852070358486,347.49852070358486,0,0.0,0
52,6731,92.57524169891418,68.18427979768293,107.24499670024082,82.18985926992286,337.3208511739212,337.3208511739212,0,0.0,0
53,5266,81.88332823337952,80.83218612528574,87.0889004846028,79.29269012926696,302.5512985522207,302.5512985522207,0,0.0,0
54,9407,109.44114581510775,51.37920942172394,170.89414292393036,73.71566046264122,472.77669529663683,472.77669529663683,0,0.0,0
